sensorId,regionId,visitorId,deviceId,deviceType,populationType,globalId,firstTimeSeen,lastTimeSeen,rssi,nEvents,manufacturer,manufacturerRouter,manufacturerGlobal,excluded,ssid,frameControlHex,length
SENSOR-1234,18,visitor-file6-001798,02:00:00:1E:C6:1D,LAPTOP,3,616798,1787278290000,1787278290000,-35,28,TP-Link,False,True,True,KT_GiGA,0x4CE2,488
SENSOR-1234,20,visitor-file6-000160,02:00:00:1E:BF:B7,IOT,1,615160,1787278290000,1787278290000,-42,10,Unknown,False,False,False,KT_GiGA,0x467C,287
SENSOR-1234,20,visitor-file6-002400,02:00:00:1E:C8:77,IOT,1,617400,1787278290000,1787278290000,-84,1,Unknown,False,False,False,Cafe_Free_WiFi,0x4F3C,1090
SENSOR-1234,4,visitor-file6-000224,02:00:00:1E:BF:F7,ROUTER,1,615224,1787278290000,1787278290000,-43,16,Google,True,True,False,SK_WiFi,0x46BC,351
SENSOR-1234,19,visitor-file6-000759,02:00:00:1E:C2:0E,ROUTER,4,615759,1787278290000,1787278290000,-32,10,Intel,True,True,False,SensorNet,0x48D3,886
SENSOR-1234,5,visitor-common-000885,02:00:00:0F:45:B4,IOT,2,500885,1787278290000,1787278290000,-58,16,Huawei,False,True,False,Cafe_Free_WiFi,0x4375,949
SENSOR-1234,7,visitor-common-000567,02:00:00:0F:44:76,TABLET,4,500567,1787278290000,1787278290000,-50,29,Cisco,False,True,False,SensorNet,0x4237,631
SENSOR-1234,20,visitor-common-000200,02:00:00:0F:43:07,IOT,1,500200,1787278290000,1787278290000,-46,21,Unknown,False,False,False,OfficeNet,0x40C8,264
SENSOR-1234,3,visitor-file6-000443,02:00:00:1E:C0:D2,LAPTOP,4,615443,1787278290000,1787278290000,-82,24,Xiaomi,False,True,False,,0x4797,570
SENSOR-1234,1,visitor-file6-000341,02:00:00:1E:C0:6C,MOBILE,2,615341,1787278290000,1787278290000,-43,11,Samsung,False,True,False,SK_WiFi,0x4731,468
SENSOR-1234,15,visitor-file6-001555,02:00:00:1E:C5:2A,IOT,4,616555,1787278290000,1787278290000,-37,25,Huawei,False,True,False,KT_GiGA,0x4BEF,245
